"","photo_id","tienda_id","caption","label","length","stars","len_word"
"1","--9fNU-8m06bbXM3jIha_w",NA,"chocolate cake endoedible","food",58,4.5,3
"2","--DpaHUw76HtjHogXfLXnA",NA,"crab fried rice","food",15,4,3
"3","-04fvUxG0taAAASsUZrsuw",NA,"white vega roll rainbow","food",41,3.5,4
"4","-082fk22b2Bp8sReYWVpyQ",NA,"french cinnamon roll","food",47,4.5,3
"5","-0eje89y-_EACmitfJxBmQ",NA,"combo sushi roll","food",26,3.5,3
"6","-1LHZQjiA-8Cu-l52qkqwA",NA,"artisan grilled chicken sandwich extra meal","food",60,1.5,6
"7","-1SmdOKspfVuaPqIO5C23A",NA,"steakhouse burger beef cooked charcoal","food",99,3.5,5
"8","-1T41Fj-Tit55MbH3tm6YA",NA,"bang shrimp corn potato spot","food",128,4,5
"9","-2xXD-0vQ0oN96KhMBmCHQ",NA,"shrimp dumpling","food",16,4,2
"10","-7Dg8QjvlJJJzo3vfSFkMw",NA,"pork rind","food",10,4.5,2
"11","-8SINvJObXXOkzirWBiupg",NA,"chicken pad thai shrimp","food",52,4.5,4
"12","-8W8q9tGaw9YtjS420L4nw",NA,"beef chili pepper","food",20,4,3
"13","-8_gvs2oSqmCpnPOjT-bGg",NA,"salmon roll","food",36,4,2
"14","-8xtcHtn04xONIR9_EFvkg",NA,"strawberry vanilla crepe breakfast","food",36,2,4
"15","-933qge_IUCNPlemsnmJyQ",NA,"beef toro","food",22,4,2
"16","-9rHJjX_NiVYyBRVIgRHbQ",NA,"pork chicken","food",49,3.5,2
"17","-AGkYA2BGiCf3ByUDWr5gg",NA,"crispy pork garlic rice coconut ginger vegetable","food",54,3,7
"18","-Agt58VRR3j72Zbv-bZi3w",NA,"salad","food",10,3.5,1
"19","-ArR8ynkaSoc2RhoK67Cfw",NA,"special smoked salmon scrambled egg","food",52,4.5,5
"20","-AxBcNu7LNIoHFYH4cNbMQ",NA,"vega roll","food",14,3.5,2
"21","-B_jJnbmrrS3ykk3STUKhA",NA,"corned beef tongue","food",18,4,3
"22","-BupVlm07cnwMGgZ-z6Qdw",NA,"beef filet wasabi skewer","food",56,4.5,4
"23","-CJzFCA5PBgYFP940rrN6A",NA,"lamb roasted salad arugula mashed potato","food",128,4,6
"24","-CMDQyS0Txb6trDdJ_VoUg",NA,"guacamole deviled egg","food",22,4,3
"25","-Cnt83FYt10bitdC25vgPg",NA,"egg bacon","food",11,3.5,2
"26","-CzmafjtN77z6U7rZL_B9Q",NA,"house special porchettum sandwich","food",36,4,4
"27","-E_cTiF_mQKRq2OjLwTjqA",NA,"chocolate fruit","food",23,4.5,2
"28","-F-JwNuBZTfOgyKq4ZPifg",NA,"chicken panini pastum salad","food",39,4,4
"29","-GIos6fRxMsfU3HlL3yiQg",NA,"soup chicken pork","food",72,3.5,3
"30","-HJn7VBRP2TdkMZIbTtjkA",NA,"red pancake cream chocolate crumble cheese syrup","food",94,4,7
"31","-HnKhdSuGwbUiCo6hzxCVg",NA,"angu beef","food",18,4.5,2
"32","-HqYcJMyMFrSi3Iec6Yn-w",NA,"spider roll","food",11,3.5,2
"33","-aECxfcQuuIhJNvxP0GvYg",NA,"shrimp dumpling pork rib bbq bun","food",66,3.5,6
