photo_id	caption
6aPe9fXeog1RMS09CFEpBA.jpg	chile pork stew
h5taVGzbbcqZ1kHEBjyufw.jpg	spicy basil fried rice
HKOGC1ZJRrEYEwgE__JbhQ.jpg	jasmine rice tuna
CKZuznOp4exPyN9G8T1ehw.jpg	sandwich sweet fire chicken
dsbP7nJPiPZGtLhIkWIQhA.jpg	dry pork belly sunday brunch
6M1kmElVJ2Dmg7oB55YJWg.jpg	breakfast lunch
DdvzgheSgXMufkm_QW3gXQ.jpg	big breakfast biscuit scrambled egg hot sausage hash brown
Dw1k03qUJPsjR7m_tyMckA.jpg	vegan beef taco
1euKzfFexdWGrMQd4m_J3A.jpg	fried tofu pork belly onion lime rice vinaigrette portion
9Qi47S6JYcuEKL5Gp5NI1w.jpg	buttermilk crispy chicken sandwich extra meal
-04fvUxG0taAAASsUZrsuw.jpg	white vega roll rainbow
hA8Lr4W14_C-_vkFOLjRJw.jpg	rice portion large
bZhj4G30jo0L5kORfFj_oA.jpg	chicken egg roll
_fF_ZxUusDRSXZOiTCgAsg.jpg	pan fried pork bun
fNjB_mu-n6hkec1O829Uow.jpg	sandwich
39-ize2Rvvz46ETHxiTWMQ.jpg	salad
GTAGfdVujQD3H1rrxm5Yaw.jpg	fried pork sauce noodle wheat daikon
7Moo7miWuu8gSSg2OD0FQQ.jpg	beef rib sausage
gaHO_IeNewZjVAF8Dj0TOA.jpg	double pork chop
FtLwgjeRrZ3jUTbVskQzZQ.jpg	garden salad
7nAs0lZGU9-I6s6ob0LDYw.jpg	steamed egg custard
h60p7FudUKB9qSMajBzEOQ.jpg	relleno stuffed marinated served spanish herb rice
7qBVLyNqXDqI1C94nyusKg.jpg	mango sticky rice
9mRz_Z_PP8sSSjDhZnIJsg.jpg	sweet potato strawberry chicken salad
2WUtFHwN3hW8Z0y7qO-z0A.jpg	style rice wrapped pork
bgtW6_1cK_MN4681iNQOWg.jpg	chocolate
gG2WscH736480MDV1InMVQ.jpg	quail egg burnt topping slouse
8mzaqxtUIlzprv34jwv2kQ.jpg	chocolate dipped strawberry truffle
Frs6Z2qd6-C_ukDNZRkm1Q.jpg	fried rice
FRbf78BsnrUeI3Fu4zwkWg.jpg	roll
GdhdotBbLKxaQonHgJHyjQ.jpg	salad
hbCIeoHjdoLG_xjGD3wT4Q.jpg	steamed bbq pork bun
8m_a6Rkv5xjqYqdnk8qfqw.jpg	hamachi hot egg
Eg1LTaWWsbN6p1IMQn3ctA.jpg	oreo chocolate chip brownie stuffed cookie
71dJZu1rtXkO4ego6MnZvw.jpg	sandwich
7qilCqva3vzsbkrd6xMwww.jpg	famou corned beef
--DpaHUw76HtjHogXfLXnA.jpg	crab fried rice
FOVJZpbqg2HDO7kV9Z-F6w.jpg	soup salad combo
E0DzeS0PWD1KfPs-WmF94g.jpg	greek salad
8vY5OVA0h34IODRztzYdeA.jpg	taco beef shredded chicken
8fba-Qy6X_Lt0TTXXBOKIQ.jpg	corned beef hash
9cY8tzRb30ZHDm0cqSqrnA.jpg	spicy basil ground pork egg
FyjO3yJtvT2BSXPOHinTaw.jpg	pancake fresh fruit salad
