photo_id,business_id,caption,label,length,stars,len_word
0_0iA9k99QCZJuazdMyGIA,RXaxKQJtExnRZX1inf8Nyg,salad,food,10.0,3.5,1.0
00_lq0d8EQOPkRsKpE7g9g,C6uYx1g7TxmuzjfNtxK86w,californium style burger italian beef combo,food,62.0,4.0,6.0
012RXHbE95eWfazSLd014g,EzC51yOetmrju2DPP72iRA,chicken rice,food,29.0,3.5,2.0
022VB-SyUQP_QFBZRp_gnw,ovnqQaQ8BsPgDoJ4nlYBUw,gluten free cooky raspberry chocolate ice cream,food,69.0,4.0,7.0
03l5TnJLC-MRFiMbcxBUqQ,bcTeQtSdHW5pyLjXz05QEg,cake,food,17.0,3.5,1.0
-04fvUxG0taAAASsUZrsuw,HQcel0uvg7N7KfhHJChfSQ,white vega roll rainbow,food,41.0,3.5,4.0
04SmHE-GRRcwfZq63omAzQ,_4qndNOqaB-dDIPCI2MkCg,thai fried rice chicken,food,25.0,4.0,4.0
04ZVG5M2C2bBuzomywOeoA,npWIa3dIPEV1MTaZNq6AUA,pork chop sweet potato fry,food,33.0,4.0,5.0
053JQh7XdJNCFTCMUHWgDQ,XCUXCTHvY8QVR4xU0DF__w,noodle minced pork peking sauce,food,55.0,3.5,5.0
05Rme0D-DGeRTvV-1X0s8Q,yU3p0tEBtGuZLTcsBHw9uQ,egg pulled pork mushroom shot mango smoothie fresh fruit,food,92.0,4.5,9.0
05Rme0D-DGeRTvV-1X0s8Q,yU3p0tEBtGuZLTcsBHw9uQ,egg pulled pork mushroom shot mango smoothie fresh fruit,food,92.0,4.5,9.0
06C1SYI1_3zvCOBDUleS6A,HPLB1Tr8ZB5UkD-2umKPdA,duck pork belly bun,food,30.0,4.0,4.0
06_fuW7ltSQjyPEqSoIxQw,cUpdeZJawIwOl6G21z7CzA,meat sandwich,food,52.0,3.5,2.0
06kDpuO3zy1eAK3OBZTonA,yp2nRId4v-bDtrYl5A3F-g,pineapple fried rice,food,20.0,4.5,3.0
06u4cnk5ws83FmV218HE9A,JMiaNitMzMbJm6Kh0RbT5A,food cake,food,17.0,4.0,2.0
06W8PdGrVvsQmC4N4pZjCA,GWnhc3MO4XjsKIpyExV--Q,rainbow roll,food,18.0,4.0,2.0
06YGBhPjn0A5niMZYNGWDw,gOOfBSBZlffCkQ7dr7cpdw,sunny egg hash crispy porchettum onion hot sauce,food,92.0,4.5,8.0
077p2c-KSGh_dXMmCjVOkw,5Lcit9Zt6TF9bmKoFMhF0g,beef noodle soup vietnamese flavor,food,85.0,4.0,5.0
